"Date","Unique Sellers"
"2018-08-07",103
"2018-08-08",103
"2018-08-09",103
"2018-08-10",103
"2018-08-11",103
"2018-08-12",103
"2018-08-13",103
"2018-08-14",103
"2018-08-15",103
"2018-08-16",103
"2018-08-17",103
"2018-08-18",103
"2018-08-19",103
"2018-08-20",103
"2018-08-21",103
"2018-08-22",103
"2018-08-23",103
"2018-08-24",103
"2018-08-25",103
"2018-08-26",103
"2018-08-27",103
"2018-08-28",103
"2018-08-29",103
"2018-08-30",103
"2018-08-31",103
"2018-09-01",104
"2018-09-02",104
"2018-09-03",104
"2018-09-04",104
"2018-09-05",104
"2018-09-06",104
"2018-09-07",104
"2018-09-08",104
"2018-09-09",104
"2018-09-10",104
"2018-09-11",105
"2018-09-12",105
"2018-09-13",105
"2018-09-14",106
"2018-09-15",106
"2018-09-16",107
"2018-09-17",107
"2018-09-18",107
"2018-09-19",107
"2018-09-20",107
"2018-09-21",107
"2018-09-22",108
"2018-09-23",108
"2018-09-24",108
"2018-09-25",108
"2018-09-26",108
"2018-09-27",108
"2018-09-28",108
"2018-09-29",108
"2018-09-30",108
"2018-10-01",108
"2018-10-02",111
"2018-10-03",111
"2018-10-04",111
"2018-10-05",111
"2018-10-06",111
"2018-10-07",111
"2018-10-08",111
"2018-10-09",111
"2018-10-10",111
"2018-10-11",113
"2018-10-12",113
"2018-10-13",113
"2018-10-14",113
"2018-10-15",113
"2018-10-16",113
"2018-10-17",113
"2018-10-18",113
"2018-10-19",113
"2018-10-20",113
"2018-10-21",113
"2018-10-22",113
"2018-10-23",113
"2018-10-24",113
"2018-10-25",113
"2018-10-26",113
"2018-10-27",113
"2018-10-28",113
"2018-10-29",113
"2018-10-30",113
"2018-10-31",113
"2018-11-01",113
"2018-11-02",113
"2018-11-03",113
"2018-11-04",113
"2018-11-05",113
"2018-11-06",113
"2018-11-07",113
"2018-11-08",113
"2018-11-09",113
"2018-11-10",113
"2018-11-11",113
"2018-11-12",113
"2018-11-13",113
"2018-11-14",114
"2018-11-15",114
"2018-11-16",114
"2018-11-17",114
"2018-11-18",114
"2018-11-19",114
"2018-11-20",115
"2018-11-21",115
"2018-11-22",115
"2018-11-23",115
"2018-11-24",115
"2018-11-25",115
"2018-11-26",115
"2018-11-27",115
"2018-11-28",115
"2018-11-29",115
"2018-11-30",115
"2018-12-01",115
"2018-12-02",115
"2018-12-03",115
"2018-12-04",115
"2018-12-05",115
"2018-12-06",115
"2018-12-07",116
"2018-12-08",116
"2018-12-09",116
"2018-12-10",116
"2018-12-11",116
"2018-12-12",116
"2018-12-13",116
"2018-12-14",116
"2018-12-15",116
"2018-12-16",117
"2018-12-17",117
"2018-12-18",118
"2018-12-19",118
"2018-12-20",118
"2018-12-21",118
"2018-12-22",118
"2018-12-23",118
"2018-12-24",121
"2018-12-25",121
"2018-12-26",121
"2018-12-27",121
"2018-12-28",121
"2018-12-29",123
"2018-12-30",123
"2018-12-31",123
"2019-01-01",123
"2019-01-02",123
"2019-01-03",123
"2019-01-04",123
"2019-01-05",123
"2019-01-06",123
"2019-01-07",125
"2019-01-08",125
"2019-01-09",125
"2019-01-10",125
"2019-01-11",125
"2019-01-12",125
"2019-01-13",125
"2019-01-14",125
"2019-01-15",125
"2019-01-16",125
"2019-01-17",126
"2019-01-18",126
