"Date","Unique Buyers"
"2018-08-19",279
"2018-08-20",279
"2018-08-21",279
"2018-08-22",281
"2018-08-23",281
"2018-08-24",281
"2018-08-25",281
"2018-08-26",282
"2018-08-27",283
"2018-08-28",283
"2018-08-29",283
"2018-08-30",283
"2018-08-31",283
"2018-09-01",284
"2018-09-02",286
"2018-09-03",286
"2018-09-04",286
"2018-09-05",286
"2018-09-06",286
"2018-09-07",286
"2018-09-08",286
"2018-09-09",286
"2018-09-10",286
"2018-09-11",287
"2018-09-12",287
"2018-09-13",287
"2018-09-14",287
"2018-09-15",287
"2018-09-16",287
"2018-09-17",287
"2018-09-18",287
"2018-09-19",287
"2018-09-20",289
"2018-09-21",289
"2018-09-22",290
"2018-09-23",290
"2018-09-24",290
"2018-09-25",290
"2018-09-26",291
"2018-09-27",293
"2018-09-28",293
"2018-09-29",293
"2018-09-30",293
"2018-10-01",293
"2018-10-02",293
"2018-10-03",294
"2018-10-04",297
"2018-10-05",298
"2018-10-06",298
"2018-10-07",298
"2018-10-08",299
"2018-10-09",299
"2018-10-10",299
"2018-10-11",300
"2018-10-12",300
"2018-10-13",300
"2018-10-14",300
"2018-10-15",300
"2018-10-16",300
"2018-10-17",300
"2018-10-18",301
"2018-10-19",301
"2018-10-20",302
"2018-10-21",302
"2018-10-22",302
"2018-10-23",304
"2018-10-24",305
"2018-10-25",305
"2018-10-26",306
"2018-10-27",306
"2018-10-28",306
"2018-10-29",307
"2018-10-30",307
"2018-10-31",308
"2018-11-01",308
"2018-11-02",308
"2018-11-03",309
"2018-11-04",309
"2018-11-05",309
"2018-11-06",310
"2018-11-07",311
"2018-11-08",312
"2018-11-09",312
"2018-11-10",312
"2018-11-11",312
"2018-11-12",313
"2018-11-13",314
"2018-11-14",315
"2018-11-15",315
"2018-11-16",315
"2018-11-17",315
"2018-11-18",316
"2018-11-19",317
"2018-11-20",319
"2018-11-21",320
"2018-11-22",322
"2018-11-23",322
"2018-11-24",323
"2018-11-25",325
"2018-11-26",329
"2018-11-27",331
"2018-11-28",333
"2018-11-29",336
"2018-11-30",337
"2018-12-01",337
"2018-12-02",337
"2018-12-03",338
"2018-12-04",338
"2018-12-05",339
"2018-12-06",341
"2018-12-07",343
"2018-12-08",343
"2018-12-09",343
"2018-12-10",343
"2018-12-11",343
"2018-12-12",343
"2018-12-13",343
"2018-12-14",343
"2018-12-15",344
"2018-12-16",344
"2018-12-17",344
"2018-12-18",345
"2018-12-19",345
"2018-12-20",347
"2018-12-21",347
"2018-12-22",348
"2018-12-23",348
"2018-12-24",351
"2018-12-25",351
"2018-12-26",351
"2018-12-27",351
"2018-12-28",352
"2018-12-29",353
"2018-12-30",353
"2018-12-31",353
"2019-01-01",354
"2019-01-02",354
"2019-01-03",355
"2019-01-04",357
"2019-01-05",357
"2019-01-06",357
"2019-01-07",357
"2019-01-08",358
"2019-01-09",359
"2019-01-10",360
"2019-01-11",360
"2019-01-12",360
"2019-01-13",360
"2019-01-14",360
"2019-01-15",360
"2019-01-16",360
"2019-01-17",362
"2019-01-18",363
"2019-01-19",364
"2019-01-20",365
"2019-01-21",365
"2019-01-22",365
"2019-01-23",365
"2019-01-24",366
"2019-01-25",366
"2019-01-26",367
"2019-01-27",368
"2019-01-28",368
"2019-01-29",368
"2019-01-30",370
"2019-01-31",370
"2019-02-01",370
"2019-02-02",370
"2019-02-03",370
"2019-02-04",370
"2019-02-05",370
"2019-02-06",370
"2019-02-07",370
"2019-02-08",370
"2019-02-09",371
"2019-02-10",372
"2019-02-11",372
"2019-02-12",372
"2019-02-13",372
